ID;RUN;Nombre;Apellidos;Dirección;"Correo Electrónico";Teléfono;tipo;titular;rol;profesión;especialidad;firma;"institucion previsional de salud";
32;382763-1;Miguel;"Rodríguez Araya";"Av. Los Leones 4438";miguel.rodriguez@correoexample.com;980067551;beneficiario;930475-4;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
33;608932-1;"Paula Miguel";Martínez;"Av. Grecia 2746";paula.martinez@correoexample.com;960894928;beneficiario;889878-2;Paciente;;;"sin firma";"Cruz de Malta S.A.";
34;219757-K;Isabel;"Araya Morales";"Av. La Florida 4426";isabel.araya@dominiofake.net;947241041;titular;219757-K;"Staff Médico";Enfermero/a;;"sin firma";"especial S.A.";
35;205810-3;Daniel;"Sepúlveda González";"Av. Matta 8026";daniel.sepulveda@mailficticio.cl;999652527;beneficiario;855065-4;Paciente;;;"sin firma";"sinsalud S.A.";
36;316117-K;Juan;Torres;"Av. Los Leones 9992";juan.torres@correoexample.com;972074891;beneficiario;563155-6;Paciente;;;"sin firma";"sinsalud S.A.";
37;578448-4;Isabel;"Espinoza Hernández";"Av. Irarrazabal 4691";isabel.espinoza@mailficticio.cl;914948954;beneficiario;478412-K;Paciente;;;"sin firma";"Vida uno S.A.";
38;405885-2;Francisco;"González Morales";"Av. Vicuña Mackenna 4069";francisco.gonzalez@correoexample.com;989916558;titular;405885-2;Paciente;;;"sin firma";"Vida uno S.A.";
39;724464-9;Francisco;"Muñoz Torres";"Av. Providencia 1476";francisco.munoz@correoexample.com;994932412;titular;724464-9;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
40;961392-7;Diego;"Morales López";"Av. Libertador Bernardo O'Higgins 9471";diego.morales@correoexample.com;952309557;titular;961392-7;Paciente;;;"sin firma";FONASA;
41;369439-9;María;"Soto Valenzuela";"Av. Los Leones 1921";maria.soto@dominiofake.net;933257368;beneficiario;335936-0;Paciente;;;"sin firma";"Colmena de avispas S.A.";
42;869056-1;Carmen;"Soto Sepúlveda";"Av. Tobalaba 10705";carmen.soto@correoexample.com;902414300;titular;869056-1;"Staff Médico";Kinesiólogo/a;;"sin firma";"Salud Ltda.";
43;771403-3;"Diego Daniel";"Sepúlveda Muñoz";"Av. Vicuña Mackenna 6172";diego.sepulveda@prueba.org;953635886;beneficiario;524286-K;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
44;475985-0;Sofía;"Díaz Díaz";"Av. Matta 7858";sofia.diaz@correoexample.com;956756802;titular;475985-0;Administrativo;;;"sin firma";"sinsalud S.A.";
45;257933-2;"Luis María";Espinoza;"Av. Libertador Bernardo O'Higgins 3319";luis.espinoza@correoexample.com;993771752;titular;257933-2;Paciente;;;"sin firma";"Vida uno S.A.";
46;327058-0;María;"Fuentes Soto";"Av. Manuel Montt 4211";maria.fuentes@prueba.org;997523473;beneficiario;973672-7;Paciente;;;"sin firma";"especial S.A.";
47;304331-2;Antonio;"Sepúlveda Rojas";"Av. Pajaritos 10440";antonio.sepulveda@mailficticio.cl;997993588;titular;304331-2;"Staff Médico";Kinesiólogo/a;;"sin firma";"Salud Ltda.";
48;508308-7;Francisco;"Torres Morales";"Av. Los Leones 11547";francisco.torres@mailficticio.cl;914729401;titular;508308-7;Paciente;;;"sin firma";FONASA;
49;726334-1;Antonio;"González Contreras";"Av. Tobalaba 1148";antonio.gonzalez@dominiofake.net;951294587;titular;726334-1;Paciente;;;"sin firma";"Salud Ltda.";
50;832975-3;María;"Muñoz Araya";"Av. Los Leones 2646";maria.munoz@correoexample.com;967993123;beneficiario;370528-5;Paciente;;;"sin firma";"sinsalud S.A.";
51;644423-7;Luis;Contreras;"Av. Tobalaba 2475";luis.contreras@prueba.org;915757698;titular;644423-7;"Staff Médico";Enfermero/a;;"sin firma";"Medibanc S.A.";
52;329950-3;Lucía;"Contreras González";"Av. Manuel Montt 5632";lucia.contreras@prueba.org;906042264;beneficiario;737881-5;Paciente;;;"sin firma";"Fundación e imperio";
53;974566-1;Diego;"Sepúlveda Muñoz";"Av. Los Leones 3858";diego.sepulveda@prueba.org;945202346;titular;974566-1;Administrativo;;;"sin firma";"sinsalud S.A.";
54;861390-7;Marta;"Sepúlveda Díaz";"Av. La Florida 2723";marta.sepulveda@mailficticio.cl;974778084;beneficiario;692454-9;Paciente;;;"sin firma";"Medibanc S.A.";
55;413840-6;"Marta Antonio";"Fuentes Rojas";"Av. Apoquindo 6254";marta.fuentes@correoexample.com;976542760;titular;413840-6;Paciente;;;"sin firma";FONASA;
56;589525-1;José;"Díaz Fuentes";"Av. Independencia 3339";jose.diaz@correoexample.com;933715712;titular;589525-1;Administrativo;;;"sin firma";"especial S.A.";
57;372925-7;"Javier Antonio";"Contreras Valenzuela";"Av. Grecia 4298";javier.contreras@prueba.org;978090954;beneficiario;736703-1;Paciente;;;"sin firma";FONASA;
58;874328-2;"Luis Javier";"López Espinoza";"Av. Pajaritos 5753";luis.lopez@prueba.org;969114170;titular;874328-2;"Staff Médico";Enfermero/a;;"sin firma";"Cruz pal cielo Ltda.";
59;409237-6;"Paula Miguel";Morales;"Av. Vicuña Mackenna 11466";paula.morales@mailficticio.cl;990703444;titular;409237-6;Paciente;;;"sin firma";FONASA;
60;603422-5;"Antonio Carmen";"Torres Muñoz";"Av. Independencia 6735";antonio.torres@dominiofake.net;936196289;titular;603422-5;Paciente;;;"sin firma";"Salud Ltda.";
61;711859-7;Daniel;"Flores Morales";"Av. Recoleta 10708";daniel.flores@mailficticio.cl;904558936;beneficiario;399074-5;Paciente;;;"sin firma";"Menos vida S.A.";
62;737881-5;"Daniel Antonio";"Díaz Rodríguez";"Av. Tobalaba 11956";daniel.diaz@dominiofake.net;924268976;titular;737881-5;Paciente;;;./firma/62;"Fundación e imperio";
63;465117-0;Miguel;"Fuentes López";"Av. Tobalaba 7426";miguel.fuentes@correoexample.com;958746284;beneficiario;531157-8;Paciente;;;"sin firma";"Vida uno S.A.";
64;961419-2;"Luis Miguel";"Muñoz Rojas";"Av. Independencia 8326";luis.munoz@dominiofake.net;947320589;beneficiario;941286-7;Paciente;;;"sin firma";FONASA;
65;998374-0;Daniel;"Díaz Torres";"Av. Macul 8333";daniel.diaz@correoexample.com;932957657;beneficiario;809757-7;Paciente;;;"sin firma";"Fundación e imperio";
66;925637-7;Lucía;Espinoza;"Av. Vicuña Mackenna 431";lucia.espinoza@prueba.org;991113568;titular;925637-7;Paciente;;;"sin firma";FONASA;
67;179550-3;Daniel;Rodríguez;"Av. Tobalaba 9384";daniel.rodriguez@prueba.org;933686852;beneficiario;292200-2;Paciente;;;"sin firma";"Salud Ltda.";
68;347866-1;Javier;"Sepúlveda Fuentes";"Av. Los Leones 777";javier.sepulveda@mailficticio.cl;982164650;beneficiario;120325-8;Paciente;;;"sin firma";"Fundación e imperio";
69;485622-8;"Antonio Antonio";"Pérez Espinoza";"Av. Vicuña Mackenna 5881";antonio.perez@dominiofake.net;979446772;beneficiario;199846-3;Paciente;;;"sin firma";"Cruz de Malta S.A.";
70;563155-6;Andrés;"Contreras Rojas";"Av. Los Leones 7222";andres.contreras@dominiofake.net;948218403;titular;563155-6;"Staff Médico";Enfermero/a;;"sin firma";"sinsalud S.A.";
71;655490-3;José;Sepúlveda;"Av. Manuel Montt 11701";jose.sepulveda@correoexample.com;939928966;titular;655490-3;"Staff Médico";Kinesiólogo/a;;"sin firma";"Colmena de avispas S.A.";
72;527418-4;Lucía;"Fuentes Espinoza";"Av. Macul 6134";lucia.fuentes@prueba.org;925281447;beneficiario;527699-3;Paciente;;;"sin firma";"Medibanc S.A.";
73;692233-3;"Paula Andrés";"López Espinoza";"Av. Tobalaba 9551";paula.lopez@dominiofake.net;994064795;beneficiario;263898-3;Paciente;;;"sin firma";"Fundación e imperio";
74;952346-4;"Carmen Andrés";"López Fuentes";"Av. Apoquindo 2075";carmen.lopez@prueba.org;966413734;beneficiario;625616-3;Paciente;;;"sin firma";"Salud Ltda.";
75;643706-0;Paula;Valenzuela;"Av. Pajaritos 7746";paula.valenzuela@correoexample.com;949430898;titular;643706-0;Paciente;;;"sin firma";FONASA;
76;126333-1;"Lucía Laura";"López Rojas";"Av. Irarrazabal 197";lucia.lopez@correoexample.com;927562371;titular;126333-1;Paciente;;;"sin firma";FONASA;
77;351355-6;Lucía;Fuentes;"Av. Pajaritos 2677";lucia.fuentes@prueba.org;951101246;beneficiario;862633-2;Paciente;;;"sin firma";"Colmena de avispas S.A.";
78;703068-1;Luis;"Rodríguez Torres";"Av. Grecia 3019";luis.rodriguez@prueba.org;999595185;titular;703068-1;Administrativo;;;"sin firma";"Colmena de avispas S.A.";
79;358811-4;Paula;Torres;"Av. Independencia 11450";paula.torres@mailficticio.cl;901832152;titular;358811-4;"Staff Médico";Tens;;"sin firma";"Medibanc S.A.";
80;943260-4;Lucía;"Soto Valenzuela";"Av. Independencia 8980";lucia.soto@prueba.org;910674165;beneficiario;134462-5;Paciente;;;"sin firma";"Salud Ltda.";
81;444102-8;"Luis Isabel";Sepúlveda;"Av. Manuel Montt 10221";luis.sepulveda@prueba.org;956262073;titular;444102-8;Paciente;;;"sin firma";"especial S.A.";
82;139801-6;Paula;"Muñoz Díaz";"Av. Matta 8785";paula.munoz@prueba.org;927506816;titular;139801-6;Paciente;;;./firma/82;"Colmena de avispas S.A.";
83;871220-4;"Andrés Francisco";"Pérez Espinoza";"Av. Recoleta 6605";andres.perez@correoexample.com;925709378;titular;871220-4;Paciente;;;"sin firma";FONASA;
84;568730-6;"Diego Diego";"Silva Fuentes";"Av. Manuel Montt 11633";diego.silva@prueba.org;916892526;beneficiario;123922-8;Paciente;;;"sin firma";"sinsalud S.A.";
85;695402-2;Laura;Martínez;"Av. Pajaritos 10248";laura.martinez@correoexample.com;952425957;beneficiario;650798-0;Paciente;;;"sin firma";"Medibanc S.A.";
86;992048-K;Isabel;"Sepúlveda López";"Av. Pajaritos 4889";isabel.sepulveda@mailficticio.cl;952821084;beneficiario;504774-9;Paciente;;;"sin firma";"Fundación e imperio";
87;112996-1;Pedro;Contreras;"Av. Manuel Montt 11469";pedro.contreras@dominiofake.net;915799168;beneficiario;436747-2;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
88;252741-3;María;Rodríguez;"Av. Los Leones 10666";maria.rodriguez@mailficticio.cl;933367881;titular;252741-3;Paciente;;;"sin firma";"Colmena de avispas S.A.";
89;680389-K;Sofía;"Soto Sepúlveda";"Av. Providencia 604";sofia.soto@mailficticio.cl;942727726;titular;680389-K;"Staff Médico";Enfermero/a;;"sin firma";"Salud Ltda.";
90;520944-7;Ana;"González Rodríguez";"Av. Pajaritos 4687";ana.gonzalez@mailficticio.cl;961193682;beneficiario;166557-K;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
91;460310-9;Carmen;González;"Av. La Florida 8685";carmen.gonzalez@prueba.org;992705498;titular;460310-9;Paciente;;;"sin firma";"Medibanc S.A.";
92;921874-2;"Pedro Isabel";"Silva Morales";"Av. Los Leones 1711";pedro.silva@correoexample.com;960809482;titular;921874-2;"Staff Médico";Enfermero/a;;"sin firma";FONASA;
93;967185-4;"Javier Daniel";"Pérez Pérez";"Av. Libertador Bernardo O'Higgins 1724";javier.perez@correoexample.com;975779277;titular;967185-4;Paciente;;;"sin firma";FONASA;
94;942498-9;José;"Contreras Hernández";"Av. Macul 7170";jose.contreras@dominiofake.net;937352528;beneficiario;889355-1;Paciente;;;"sin firma";"especial S.A.";
95;959401-9;Isabel;Torres;"Av. Independencia 10829";isabel.torres@dominiofake.net;913907953;titular;959401-9;Paciente;;;"sin firma";"Medibanc S.A.";
96;227893-6;"Andrés Paula";"González Silva";"Av. Pajaritos 4224";andres.gonzalez@correoexample.com;909097996;titular;227893-6;Paciente;;;"sin firma";FONASA;
97;181470-2;Daniel;"Pérez Sepúlveda";"Av. Libertador Bernardo O'Higgins 4624";daniel.perez@correoexample.com;989963927;titular;181470-2;Paciente;;;"sin firma";FONASA;
98;862066-0;Daniel;Silva;"Av. Grecia 11486";daniel.silva@prueba.org;998569094;beneficiario;885826-8;Paciente;;;"sin firma";"Vida uno S.A.";
99;529560-2;María;"López Martínez";"Av. La Florida 924";maria.lopez@mailficticio.cl;987413659;titular;529560-2;Administrativo;;;"sin firma";"Menos vida S.A.";
100;635303-7;Javier;"González Díaz";"Av. Grecia 1684";javier.gonzalez@correoexample.com;934541254;titular;635303-7;Paciente;;;"sin firma";FONASA;
101;174364-3;Ana;Valenzuela;"Av. Pajaritos 6175";ana.valenzuela@mailficticio.cl;958089899;beneficiario;948604-6;Paciente;;;"sin firma";FONASA;
102;628003-K;José;"Valenzuela Soto";"Av. Vicuña Mackenna 7089";jose.valenzuela@prueba.org;999104869;beneficiario;705010-0;Paciente;;;"sin firma";"Medibanc S.A.";
103;733083-9;"Andrés Lucía";"Martínez Soto";"Av. Recoleta 4332";andres.martinez@dominiofake.net;917064172;titular;733083-9;Paciente;;;"sin firma";"Vida uno S.A.";
104;643071-6;"Paula Pedro";Silva;"Av. Apoquindo 2241";paula.silva@mailficticio.cl;955606424;titular;643071-6;"Staff Médico";Kinesiólogo/a;;"sin firma";"Salud Ltda.";
105;984178-4;Carmen;López;"Av. La Florida 8959";carmen.lopez@dominiofake.net;960208059;titular;984178-4;Paciente;;;"sin firma";"Medibanc S.A.";
106;682358-0;"Pedro Sofía";Araya;"Av. Manuel Montt 4353";pedro.araya@dominiofake.net;978603075;beneficiario;458092-3;Paciente;;;"sin firma";"Vida uno S.A.";
107;988117-4;"Carmen José";"Silva Muñoz";"Av. Pajaritos 3797";carmen.silva@mailficticio.cl;995671877;beneficiario;383424-7;Paciente;;;"sin firma";"Cruz de Malta S.A.";
108;370616-8;"Antonio Pedro";Martínez;"Av. Los Leones 9211";antonio.martinez@mailficticio.cl;981103911;titular;370616-8;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
109;350762-9;"Isabel Pedro";"Fuentes Morales";"Av. Irarrazabal 6716";isabel.fuentes@prueba.org;918595483;beneficiario;105278-0;Paciente;;;"sin firma";"Salud Ltda.";
110;243474-1;Carmen;"Valenzuela Pérez";"Av. Vicuña Mackenna 4053";carmen.valenzuela@dominiofake.net;976733998;titular;243474-1;Paciente;;;"sin firma";FONASA;
111;918278-0;"Carmen Carmen";"Valenzuela Muñoz";"Av. Independencia 11632";carmen.valenzuela@mailficticio.cl;938595896;titular;918278-0;Paciente;;;"sin firma";FONASA;
112;241395-7;Francisco;"Martínez Valenzuela";"Av. Irarrazabal 6437";francisco.martinez@mailficticio.cl;998230137;beneficiario;156121-9;Paciente;;;"sin firma";"Medibanc S.A.";
113;187942-1;Luis;"Contreras Valenzuela";"Av. La Florida 9139";luis.contreras@prueba.org;900181612;beneficiario;336287-6;Paciente;;;"sin firma";FONASA;
114;561221-7;Francisco;"Valenzuela Muñoz";"Av. Manuel Montt 2190";francisco.valenzuela@dominiofake.net;926609451;titular;561221-7;"Staff Médico";Tens;;"sin firma";"Fundación e imperio";
115;239150-3;"José Laura";"Sepúlveda Araya";"Av. Providencia 260";jose.sepulveda@prueba.org;908615233;beneficiario;659922-2;Paciente;;;"sin firma";"Colmena de avispas S.A.";
116;327972-3;Juan;"Silva Valenzuela";"Av. La Florida 10812";juan.silva@correoexample.com;928492687;titular;327972-3;Paciente;;;"sin firma";FONASA;
117;683106-0;Juan;Contreras;"Av. Manuel Montt 9744";juan.contreras@prueba.org;996135508;titular;683106-0;Paciente;;;"sin firma";FONASA;
118;251806-6;"Isabel Marta";"Torres Díaz";"Av. Los Leones 10804";isabel.torres@correoexample.com;933730887;beneficiario;214257-0;Paciente;;;"sin firma";FONASA;
119;379044-4;Laura;Rodríguez;"Av. Macul 10501";laura.rodriguez@correoexample.com;927639806;beneficiario;888826-4;Paciente;;;"sin firma";"Salud Ltda.";
120;582176-2;Luis;"Contreras Flores";"Av. Tobalaba 1895";luis.contreras@mailficticio.cl;963165508;beneficiario;814913-5;Paciente;;;"sin firma";"sinsalud S.A.";
121;106211-5;Paula;Espinoza;"Av. Independencia 10996";paula.espinoza@correoexample.com;923625699;titular;106211-5;Paciente;;;"sin firma";"Fundación e imperio";
122;397377-8;Laura;"Morales Torres";"Av. Los Leones 10010";laura.morales@correoexample.com;973208488;titular;397377-8;Paciente;;;"sin firma";FONASA;
123;301232-8;"María María";"Contreras Espinoza";"Av. Grecia 8473";maria.contreras@mailficticio.cl;922901015;titular;301232-8;Paciente;;;"sin firma";"Cruz de Malta S.A.";
124;177895-1;Lucía;"Contreras Hernández";"Av. Matta 3204";lucia.contreras@dominiofake.net;977381043;titular;177895-1;Paciente;;;"sin firma";FONASA;
125;867568-6;Lucía;Martínez;"Av. Macul 9999";lucia.martinez@mailficticio.cl;960365273;titular;867568-6;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
126;975292-7;"Andrés Andrés";"Pérez Araya";"Av. Libertador Bernardo O'Higgins 11236";andres.perez@dominiofake.net;996812165;beneficiario;587352-5;Paciente;;;"sin firma";"Cruz de Malta S.A.";
127;166943-5;Sofía;"Hernández Soto";"Av. Matta 993";sofia.hernandez@prueba.org;985576515;beneficiario;282898-7;Paciente;;;"sin firma";FONASA;
128;671407-2;"Luis Daniel";Hernández;"Av. Grecia 3922";luis.hernandez@prueba.org;975001680;beneficiario;108317-1;Paciente;;;"sin firma";"sinsalud S.A.";
129;531157-8;"Francisco María";Araya;"Av. Matta 6555";francisco.araya@dominiofake.net;991681549;titular;531157-8;Paciente;;;"sin firma";"Vida uno S.A.";
130;680922-7;Luis;"Muñoz Silva";"Av. Irarrazabal 7158";luis.munoz@dominiofake.net;985470332;beneficiario;413016-2;Paciente;;;"sin firma";"Cruz de Malta S.A.";
131;446163-0;Marta;"Sepúlveda Soto";"Av. Los Leones 1706";marta.sepulveda@mailficticio.cl;936734340;beneficiario;812642-9;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
132;559804-4;Marta;"López Fuentes";"Av. Vicuña Mackenna 4244";marta.lopez@mailficticio.cl;933341496;beneficiario;889878-2;Paciente;;;"sin firma";"Cruz de Malta S.A.";
133;963405-3;Javier;"Martínez Pérez";"Av. Recoleta 6644";javier.martinez@dominiofake.net;999024353;titular;963405-3;Paciente;;;"sin firma";"sinsalud S.A.";
134;344238-1;José;"Muñoz Sepúlveda";"Av. Independencia 8042";jose.munoz@dominiofake.net;979522442;titular;344238-1;"Staff Médico";Tens;;"sin firma";"Cruz pal cielo Ltda.";
135;474723-2;José;Contreras;"Av. La Florida 1808";jose.contreras@mailficticio.cl;916049734;beneficiario;314551-4;Paciente;;;"sin firma";"sinsalud S.A.";
136;760683-4;Javier;"Espinoza Silva";"Av. Independencia 3233";javier.espinoza@correoexample.com;988162054;beneficiario;946827-7;Paciente;;;"sin firma";"Cruz de Malta S.A.";
137;492448-7;Francisco;"Araya Muñoz";"Av. Providencia 5196";francisco.araya@correoexample.com;932196142;titular;492448-7;"Staff Médico";Enfermero/a;;"sin firma";"Vida uno S.A.";
138;720877-4;Carmen;"Flores Sepúlveda";"Av. Apoquindo 6522";carmen.flores@dominiofake.net;945443755;titular;720877-4;Paciente;;;"sin firma";"sinsalud S.A.";
139;539084-2;Andrés;"Rodríguez Rodríguez";"Av. Matta 9487";andres.rodriguez@prueba.org;942943983;titular;539084-2;Paciente;;;"sin firma";"Cruz de Malta S.A.";
140;788919-4;Javier;"Muñoz Morales";"Av. Grecia 5341";javier.munoz@dominiofake.net;934278094;beneficiario;328052-7;Paciente;;;"sin firma";"especial S.A.";
141;824411-1;Javier;Soto;"Av. Pajaritos 1624";javier.soto@prueba.org;905792051;beneficiario;309800-1;Paciente;;;"sin firma";"especial S.A.";
142;554700-8;"Miguel Juan";"Espinoza López";"Av. Grecia 2426";miguel.espinoza@correoexample.com;966864221;titular;554700-8;Paciente;;;"sin firma";"especial S.A.";
143;199424-7;Daniel;"Espinoza Hernández";"Av. Libertador Bernardo O'Higgins 1862";daniel.espinoza@dominiofake.net;979638818;beneficiario;281685-7;Paciente;;;"sin firma";"Menos vida S.A.";
144;378866-0;"Javier Lucía";"Sepúlveda Valenzuela";"Av. Grecia 2484";javier.sepulveda@prueba.org;973329355;beneficiario;185134-9;Paciente;;;"sin firma";"Salud Ltda.";
145;385916-9;"Juan Lucía";"Rodríguez Flores";"Av. Tobalaba 7997";juan.rodriguez@mailficticio.cl;934407218;titular;385916-9;"Staff Médico";Tens;;"sin firma";"Medibanc S.A.";
146;201979-5;Antonio;"López Espinoza";"Av. La Florida 4170";antonio.lopez@prueba.org;957013269;titular;201979-5;Paciente;;;"sin firma";"Vida uno S.A.";
147;173056-8;Diego;Muñoz;"Av. Apoquindo 2723";diego.munoz@dominiofake.net;917679824;titular;173056-8;Paciente;;;"sin firma";"Menos vida S.A.";
148;837889-4;"Sofía Luis";Fuentes;"Av. Libertador Bernardo O'Higgins 4321";sofia.fuentes@correoexample.com;907337651;titular;837889-4;"Staff Médico";Enfermero/a;;"sin firma";"especial S.A.";
149;174621-9;"Sofía Lucía";"Martínez Rojas";"Av. Matta 1061";sofia.martinez@mailficticio.cl;984024465;titular;174621-9;Paciente;;;"sin firma";"Vida uno S.A.";
150;426833-4;María;Fuentes;"Av. Providencia 9226";maria.fuentes@correoexample.com;953048491;titular;426833-4;Paciente;;;"sin firma";"Fundación e imperio";
151;926188-5;"Miguel Isabel";"Araya Rodríguez";"Av. Independencia 7935";miguel.araya@dominiofake.net;979878747;titular;926188-5;Paciente;;;"sin firma";FONASA;
152;448778-8;"Andrés Isabel";Valenzuela;"Av. Providencia 7002";andres.valenzuela@correoexample.com;983766189;beneficiario;761136-6;Paciente;;;"sin firma";"Menos vida S.A.";
153;335232-3;"Antonio Marta";"Rojas Hernández";"Av. Manuel Montt 4829";antonio.rojas@correoexample.com;916231311;titular;335232-3;Paciente;;;./firma/153;"sinsalud S.A.";
154;846987-3;Andrés;"Araya Hernández";"Av. Los Leones 4243";andres.araya@correoexample.com;977289624;titular;846987-3;"Staff Médico";Kinesiólogo/a;;"sin firma";"sinsalud S.A.";
