 id_paciente |   RUN    | cantidad_dx 
        2995 | 297781-8 |           3
        2996 | 981405-1 |           3
        2999 | 586621-9 |           3
           1 | 370333-9 |           3
          86 | 992048-K |           3
          88 | 252741-3 |           3
          91 | 460310-9 |           3
          95 | 959401-9 |           3
          97 | 181470-2 |           3
          98 | 862066-0 |           3
         100 | 635303-7 |           3
         103 | 733083-9 |           3
         105 | 984178-4 |           3
         106 | 682358-0 |           3
         107 | 988117-4 |           3
         108 | 370616-8 |           3
         109 | 350762-9 |           3
         110 | 243474-1 |           3
         113 | 187942-1 |           3
         117 | 683106-0 |           3
         118 | 251806-6 |           3
         121 | 106211-5 |           3
         122 | 397377-8 |           3
         123 | 301232-8 |           3
         125 | 867568-6 |           3
         127 | 166943-5 |           3
         128 | 671407-2 |           3
         129 | 531157-8 |           3
         130 | 680922-7 |           3
         131 | 446163-0 |           3
         132 | 559804-4 |           3
         133 | 963405-3 |           3
         135 | 474723-2 |           3
         138 | 720877-4 |           3
         139 | 539084-2 |           3
         141 | 824411-1 |           3
         142 | 554700-8 |           3
         144 | 378866-0 |           3
         146 | 201979-5 |           3
         147 | 173056-8 |           3
         149 | 174621-9 |           3
         150 | 426833-4 |           3
         153 | 335232-3 |           3
         157 | 519131-9 |           3
         158 | 597138-1 |           3
         160 | 311081-8 |           3
         167 | 237637-7 |           3
         168 | 199846-3 |           3
         170 | 618517-7 |           3
         171 | 967475-6 |           3
         172 | 136090-6 |           3
         176 | 275377-4 |           3
         180 | 321706-K |           3
         181 | 366776-6 |           3
         182 | 315243-K |           3
         183 | 522089-0 |           3
         186 | 867971-1 |           3
         188 | 300535-6 |           3
         193 | 235177-3 |           3
         194 | 816388-K |           3
         195 | 850938-7 |           3
         197 | 160919-K |           3
         198 | 391429-1 |           3
         199 | 781172-1 |           3
         202 | 419152-8 |           3
         203 | 693992-9 |           3
         207 | 216440-K |           3
         210 | 245728-8 |           3
         213 | 983986-0 |           3
         214 | 662432-4 |           3
         218 | 505481-8 |           3
         220 | 300208-K |           3
         221 | 545489-1 |           3
         222 | 845603-8 |           3
         224 | 185584-0 |           3
         226 | 478811-7 |           3
         227 | 223095-K |           3
         230 | 912360-1 |           3
         232 | 709440-K |           3
         234 | 739604-K |           3
         237 | 431971-0 |           3
         239 | 428425-9 |           3
         241 | 263813-4 |           3
         242 | 678984-6 |           3
         245 | 352809-K |           3
         246 | 911649-4 |           3
         247 | 660683-0 |           3
         248 | 531756-8 |           3
         249 | 795774-2 |           3
         250 | 782800-4 |           3
         251 | 194294-8 |           3
         252 | 884360-0 |           3
         253 | 129409-1 |           3
         256 | 159355-2 |           3
         257 | 334196-8 |           3
         258 | 609072-9 |           3
         259 | 148523-7 |           3
         260 | 598496-3 |           3
         261 | 904731-K |           3
         263 | 759446-1 |           3
         264 | 488171-0 |           3
         265 | 985378-2 |           3
         269 | 126614-4 |           3
         270 | 101228-2 |           3
         271 | 544872-7 |           3
         273 | 419681-3 |           3
         274 | 582926-7 |           3
         275 | 297534-3 |           3
         276 | 633630-2 |           3
         277 | 286392-8 |           3
         278 | 734330-2 |           3
         282 | 545596-0 |           3
         283 | 485524-8 |           3
         285 | 916471-5 |           3
         289 | 994056-1 |           3
         290 | 206299-2 |           3
         291 | 185159-4 |           3
         294 | 935393-3 |           3
         296 | 753108-7 |           3
         297 | 574034-7 |           3
         298 | 408859-K |           3
         299 | 380695-2 |           3
         300 | 394685-1 |           3
         301 | 386512-6 |           3
         302 | 130508-5 |           3
         309 | 686349-3 |           3
         311 | 233174-8 |           3
         313 | 429282-0 |           3
         315 | 448305-7 |           3
         318 | 520654-5 |           3
         319 | 765273-9 |           3
         320 | 192308-0 |           3
         322 | 626353-4 |           3
         323 | 236855-2 |           3
         324 | 593956-9 |           3
         327 | 564290-6 |           3
         328 | 854178-7 |           3
         329 | 648901-K |           3
         330 | 129414-8 |           3
         331 | 240940-2 |           3
         333 | 264451-7 |           3
         338 | 375543-6 |           3
         339 | 966443-2 |           3
         340 | 506750-2 |           3
         341 | 784829-3 |           3
         342 | 748595-6 |           3
         345 | 443919-8 |           3
         347 | 885826-8 |           3
         350 | 540647-1 |           3
         352 | 143049-1 |           3
         354 | 558835-9 |           3
         355 | 922705-9 |           3
         356 | 844791-8 |           3
         358 | 464792-0 |           3
         361 | 911608-7 |           3
         363 | 172539-4 |           3
         368 | 249651-8 |           3
         370 | 229557-1 |           3
         371 | 589522-7 |           3
         372 | 973297-7 |           3
         373 | 658047-5 |           3
         374 | 830256-1 |           3
         378 | 236677-0 |           3
         379 | 434078-7 |           3
         383 | 654047-3 |           3
         385 | 526278-K |           3
         390 | 546549-4 |           3
         392 | 875412-8 |           3
         396 | 628371-3 |           3
         397 | 529798-2 |           3
         398 | 831653-8 |           3
         399 | 753870-7 |           3
         400 | 681464-6 |           3
         401 | 877534-6 |           3
         403 | 574724-4 |           3
         404 | 166626-6 |           3
         408 | 626247-3 |           3
         410 | 750659-7 |           3
         411 | 566163-3 |           3
         414 | 217717-K |           3
         415 | 912612-0 |           3
         416 | 621649-8 |           3
         418 | 259736-5 |           3
         419 | 128294-8 |           3
         420 | 299944-7 |           3
         422 | 941989-6 |           3
         423 | 971111-2 |           3
         424 | 365277-7 |           3
         425 | 816146-1 |           3
         427 | 852750-4 |           3
         430 | 757963-2 |           3
         431 | 901942-1 |           3
         432 | 843783-1 |           3
         433 | 298403-2 |           3
         434 | 382315-6 |           3
         435 | 951403-1 |           3
         436 | 350786-6 |           3
         438 | 393748-8 |           3
         439 | 254644-2 |           3
         441 | 913683-5 |           3
         442 | 628079-K |           3
         444 | 111893-5 |           3
         446 | 906385-4 |           3
         447 | 298589-6 |           3
         448 | 410590-7 |           3
         454 | 175395-9 |           3
         456 | 312293-K |           3
         458 | 977643-5 |           3
         459 | 456678-5 |           3
         460 | 641772-8 |           3
         461 | 957049-7 |           3
         463 | 161238-7 |           3
         464 | 366361-2 |           3
         465 | 612422-4 |           3
         467 | 792590-5 |           3
         468 | 190027-7 |           3
         469 | 858495-8 |           3
         474 | 699115-7 |           3
         476 | 540099-6 |           3
         477 | 942769-4 |           3
         479 | 790709-5 |           3
         482 | 990009-8 |           3
         483 | 680222-2 |           3
         486 | 621187-9 |           3
         488 | 504735-8 |           3
         489 | 332752-3 |           3
         490 | 361222-8 |           3
         491 | 328064-0 |           3
         492 | 623300-7 |           3
         496 | 957527-8 |           3
         498 | 300587-9 |           3
         500 | 226249-5 |           3
         501 | 659922-2 |           3
         504 | 899544-3 |           3
         506 | 985477-0 |           3
         507 | 814307-2 |           3
         508 | 272176-7 |           3
         514 | 792863-7 |           3
         516 | 415964-0 |           3
         518 | 597945-5 |           3
         519 | 459030-9 |           3
         521 | 622429-6 |           3
         524 | 570656-4 |           3
         525 | 180391-3 |           3
         526 | 248362-9 |           3
         527 | 323374-K |           3
         529 | 413770-1 |           3
         530 | 301865-2 |           3
         532 | 440839-K |           3
         533 | 833298-3 |           3
         537 | 725025-8 |           3
         539 | 174968-4 |           3
         541 | 560240-8 |           3
         542 | 836854-6 |           3
         544 | 153666-4 |           3
         546 | 361691-6 |           3
         547 | 978263-K |           3
         549 | 462770-9 |           3
         552 | 910171-3 |           3
         555 | 874197-2 |           3
         556 | 808627-3 |           3
         559 | 748505-0 |           3
         562 | 934742-9 |           3
         566 | 227165-6 |           3
         567 | 655982-4 |           3
         568 | 335200-5 |           3
         569 | 964505-5 |           3
         570 | 402419-2 |           3
         573 | 784504-9 |           3
         575 | 805376-6 |           3
         576 | 192453-2 |           3
         580 | 665663-3 |           3
         581 | 789833-9 |           3
         583 | 580946-0 |           3
         584 | 269631-2 |           3
         588 | 157717-4 |           3
         589 | 504733-1 |           3
         593 | 727319-3 |           3
         595 | 128237-9 |           3
         597 | 702360-K |           3
         599 | 677249-8 |           3
         601 | 451312-6 |           3
         602 | 572729-4 |           3
         604 | 501736-K |           3
         605 | 840784-3 |           3
         607 | 933725-3 |           3
         609 | 415392-8 |           3
         610 | 320086-8 |           3
         611 | 442933-8 |           3
         612 | 396915-0 |           3
         613 | 672483-3 |           3
         614 | 913673-8 |           3
         615 | 655757-0 |           3
         616 | 857224-0 |           3
         617 | 999591-9 |           3
         620 | 558311-K |           3
         621 | 624213-8 |           3
         625 | 945124-2 |           3
         631 | 747670-1 |           3
         633 | 413016-2 |           3
         634 | 288329-5 |           3
         635 | 133020-9 |           3
         636 | 958867-1 |           3
         638 | 644763-5 |           3
         641 | 971128-7 |           3
         643 | 920920-4 |           3
         649 | 270866-3 |           3
         651 | 625035-1 |           3
         654 | 703120-3 |           3
         657 | 549584-9 |           3
         658 | 336684-7 |           3
         662 | 923005-K |           3
         663 | 679467-K |           3
         664 | 683280-6 |           3
         665 | 602175-1 |           3
         667 | 297883-0 |           3
         669 | 698645-5 |           3
         670 | 170238-6 |           3
         671 | 827788-5 |           3
         672 | 660237-1 |           3
         673 | 867457-4 |           3
         674 | 178240-1 |           3
         675 | 923961-8 |           3
         676 | 745949-1 |           3
         677 | 758183-1 |           3
         679 | 305817-4 |           3
         680 | 782673-7 |           3
         681 | 727266-9 |           3
         682 | 163364-3 |           3
         683 | 440116-6 |           3
         684 | 106958-6 |           3
         685 | 262096-0 |           3
         687 | 942982-4 |           3
         688 | 149636-0 |           3
         692 | 605731-4 |           3
         693 | 765868-0 |           3
         694 | 796799-3 |           3
         702 | 809757-7 |           3
         703 | 631608-5 |           3
         704 | 814913-5 |           3
         706 | 961876-7 |           3
         708 | 169308-5 |           3
         710 | 770730-4 |           3
         711 | 465081-6 |           3
         712 | 873425-9 |           3
         713 | 929240-3 |           3
         714 | 445176-7 |           3
         718 | 879238-0 |           3
         720 | 971488-K |           3
         722 | 524956-2 |           3
         724 | 707969-9 |           3
         725 | 793347-9 |           3
         728 | 322823-1 |           3
         732 | 453376-3 |           3
         733 | 694977-0 |           3
         734 | 681911-7 |           3
         735 | 519701-5 |           3
         737 | 895354-6 |           3
         740 | 355893-2 |           3
         741 | 659214-7 |           3
         743 | 426709-5 |           3
         746 | 983358-7 |           3
         753 | 509813-0 |           3
         755 | 842141-2 |           3
         756 | 937061-7 |           3
         757 | 332372-2 |           3
         758 | 599877-8 |           3
         759 | 725200-5 |           3
         762 | 741016-6 |           3
         763 | 933713-K |           3
         767 | 781456-9 |           3
         768 | 675083-4 |           3
         769 | 682499-4 |           3
         770 | 580759-K |           3
         771 | 523775-0 |           3
         774 | 102905-3 |           3
         775 | 168944-4 |           3
         776 | 960322-0 |           3
         780 | 239716-1 |           3
         782 | 874624-9 |           3
         783 | 961628-4 |           3
         784 | 359458-0 |           3
         789 | 298117-3 |           3
         793 | 694689-5 |           3
         794 | 100996-6 |           3
         799 | 867221-0 |           3
         800 | 370786-5 |           3
         801 | 680993-6 |           3
         802 | 779884-9 |           3
         804 | 172094-5 |           3
         805 | 659107-8 |           3
         806 | 856363-2 |           3
         807 | 828657-4 |           3
         808 | 964172-6 |           3
         811 | 513289-4 |           3
         813 | 469323-K |           3
         815 | 816636-6 |           3
         818 | 220715-K |           3
         819 | 871920-9 |           3
         821 | 589581-2 |           3
         822 | 354675-6 |           3
         823 | 546355-6 |           3
         824 | 379617-5 |           3
         825 | 322024-9 |           3
         826 | 501782-3 |           3
         827 | 218618-7 |           3
         829 | 574822-4 |           3
         831 | 341576-7 |           3
         832 | 478412-K |           3
         833 | 581941-5 |           3
         834 | 438374-5 |           3
         835 | 895217-5 |           3
         836 | 426786-9 |           3
         837 | 251845-7 |           3
         838 | 943330-9 |           3
         840 | 272082-5 |           3
         844 | 840408-9 |           3
         846 | 712189-K |           3
         848 | 802322-0 |           3
         851 | 148822-8 |           3
         852 | 602301-0 |           3
         856 | 403936-K |           3
         857 | 601349-K |           3
         859 | 960409-K |           3
         861 | 913232-5 |           3
         862 | 333913-0 |           3
         863 | 469788-K |           3
         864 | 887315-1 |           3
         868 | 304253-7 |           3
         874 | 511474-8 |           3
         875 | 997478-4 |           3
         876 | 748996-K |           3
         877 | 682054-9 |           3
         878 | 526041-8 |           3
         879 | 328342-9 |           3
         880 | 261236-4 |           3
         882 | 438308-7 |           3
         883 | 886715-1 |           3
         885 | 399607-7 |           3
         887 | 559186-4 |           3
         888 | 127112-1 |           3
         890 | 949184-8 |           3
         892 | 745327-2 |           3
         893 | 259093-K |           3
         894 | 645176-4 |           3
         897 | 275572-6 |           3
         898 | 724368-5 |           3
         901 | 855065-4 |           3
         902 | 163931-5 |           3
         904 | 708550-8 |           3
         908 | 454680-6 |           3
         909 | 986060-6 |           3
         912 | 131248-0 |           3
         913 | 295777-9 |           3
         916 | 917771-K |           3
         917 | 614379-2 |           3
         919 | 373391-2 |           3
         921 | 430250-8 |           3
         922 | 428954-4 |           3
         924 | 151413-K |           3
         929 | 643537-8 |           3
         930 | 546502-8 |           3
         931 | 589565-0 |           3
         934 | 753353-5 |           3
         935 | 964568-3 |           3
         936 | 560991-7 |           3
         937 | 199337-2 |           3
         939 | 329651-2 |           3
         940 | 350710-6 |           3
         941 | 942967-0 |           3
         942 | 228530-4 |           3
         943 | 946357-7 |           3
         945 | 649657-1 |           3
         950 | 859603-4 |           3
         953 | 852853-5 |           3
         954 | 810968-0 |           3
         955 | 176853-0 |           3
         960 | 958550-8 |           3
         961 | 555879-4 |           3
         963 | 554348-7 |           3
         964 | 138515-1 |           3
         965 | 901420-9 |           3
         966 | 803364-1 |           3
         970 | 541053-3 |           3
         971 | 120325-8 |           3
         977 | 829358-9 |           3
         978 | 445002-7 |           3
         979 | 288811-4 |           3
         981 | 725234-K |           3
         982 | 504437-5 |           3
         983 | 906920-8 |           3
         984 | 723787-1 |           3
         986 | 148665-9 |           3
         987 | 189491-9 |           3
         990 | 158902-4 |           3
         991 | 184368-0 |           3
         994 | 295941-0 |           3
         995 | 552316-8 |           3
         997 | 419899-9 |           3
        1000 | 519880-1 |           3
        1001 | 342295-K |           3
        1002 | 255175-6 |           3
        1005 | 916665-3 |           3
        1006 | 299231-0 |           3
        1007 | 879573-8 |           3
        1008 | 927171-6 |           3
        1009 | 417693-6 |           3
        1014 | 681287-2 |           3
        1015 | 376895-3 |           3
        1018 | 993100-7 |           3
        1019 | 701878-9 |           3
        1020 | 436548-8 |           3
        1021 | 354210-6 |           3
        1025 | 650798-0 |           3
        1029 | 229688-8 |           3
        1035 | 871777-K |           3
        1036 | 203767-K |           3
        1037 | 580839-1 |           3
        1038 | 370528-5 |           3
        1039 | 480972-6 |           3
        1049 | 853430-6 |           3
        1056 | 721540-1 |           3
        1057 | 339683-5 |           3
        1059 | 141147-0 |           3
        1062 | 352646-1 |           3
        1064 | 635434-3 |           3
        1065 | 582633-0 |           3
        1067 | 864076-9 |           3
        1070 | 697907-6 |           3
        1071 | 186552-8 |           3
        1072 | 650607-0 |           3
        1073 | 536167-2 |           3
        1074 | 524007-7 |           3
        1075 | 760617-6 |           3
        1082 | 280422-0 |           3
        1086 | 946915-K |           3
        1088 | 582563-6 |           3
        1089 | 472692-8 |           3
        1093 | 742261-K |           3
        1094 | 751371-2 |           3
        1095 | 214380-1 |           3
        1097 | 743353-0 |           3
        1098 | 758691-4 |           3
        1099 | 735566-1 |           3
        1100 | 438397-4 |           3
        1101 | 382754-2 |           3
        1102 | 117660-9 |           3
        1103 | 650734-4 |           3
        1105 | 514225-3 |           3
        1106 | 420268-6 |           3
        1107 | 840306-6 |           3
        1112 | 305552-3 |           3
        1113 | 147404-9 |           3
        1114 | 991008-5 |           3
        1116 | 330658-5 |           3
        1118 | 347676-6 |           3
        1119 | 119332-5 |           3
        1121 | 862633-2 |           3
        1125 | 185865-3 |           3
        1126 | 108709-6 |           3
        1127 | 328160-4 |           3
        1128 | 716232-4 |           3
        1129 | 284894-5 |           3
        1130 | 353232-1 |           3
        1131 | 323463-0 |           3
        1133 | 987139-K |           3
        1135 | 948060-9 |           3
        1138 | 857172-4 |           3
        1139 | 161912-8 |           3
        1141 | 373525-7 |           3
        1143 | 383145-0 |           3
        1144 | 301570-K |           3
        1147 | 130719-3 |           3
        1149 | 251892-9 |           3
        1150 | 684662-9 |           3
        1152 | 496458-6 |           3
        1155 | 214257-0 |           3
        1156 | 489520-7 |           3
        1157 | 441201-K |           3
        1160 | 602957-4 |           3
        1165 | 203591-K |           3
        1167 | 780655-8 |           3
        1169 | 423687-4 |           3
        1173 | 938912-1 |           3
        1177 | 472421-6 |           3
        1180 | 485350-4 |           3
        1181 | 692922-2 |           3
        1182 | 717877-8 |           3
        1183 | 149662-K |           3
        1186 | 428459-3 |           3
        1190 | 323355-3 |           3
        1191 | 665622-6 |           3
        1192 | 251347-1 |           3
        1195 | 326000-3 |           3
        1196 | 442116-7 |           3
        1197 | 131376-2 |           3
        1198 | 606744-1 |           3
        1202 | 151402-4 |           3
        1203 | 783516-7 |           3
        1204 | 328052-7 |           3
        1210 | 406545-K |           3
        1211 | 207485-0 |           3
        1214 | 586238-8 |           3
        1216 | 701552-6 |           3
        1217 | 104155-K |           3
        1218 | 501144-2 |           3
        1220 | 541428-8 |           3
        1221 | 157729-8 |           3
        1222 | 507061-9 |           3
        1225 | 430824-7 |           3
        1228 | 112086-7 |           3
        1230 | 248014-K |           3
        1232 | 974767-2 |           3
        1234 | 606018-8 |           3
        1236 | 101362-9 |           3
        1238 | 683444-2 |           3
        1240 | 774952-K |           3
        1241 | 205567-8 |           3
        1242 | 575380-5 |           3
        1243 | 569790-5 |           3
        1244 | 234265-0 |           3
        1245 | 301408-8 |           3
        1246 | 565744-K |           3
        1247 | 508131-9 |           3
        1249 | 516457-5 |           3
        1254 | 999486-6 |           3
        1255 | 599018-1 |           3
        1257 | 660126-K |           3
        1261 | 483308-2 |           3
        1265 | 520328-7 |           3
        1268 | 729930-3 |           3
        1273 | 891452-4 |           3
        1275 | 829463-1 |           3
        1276 | 663033-2 |           3
        1277 | 117173-9 |           3
        1281 | 216290-3 |           3
        1284 | 285376-0 |           3
        1285 | 456505-3 |           3
        1288 | 148394-3 |           3
        1289 | 460181-5 |           3
        1290 | 757750-8 |           3
        1291 | 199898-6 |           3
        1293 | 492552-1 |           3
        1294 | 746957-8 |           3
        1297 | 438125-4 |           3
        1298 | 718244-9 |           3
        1299 | 661603-8 |           3
        1300 | 863987-6 |           3
        1303 | 516734-5 |           3
        1304 | 530227-7 |           3
        1305 | 334675-7 |           3
        1306 | 315759-8 |           3
        1307 | 730270-3 |           3
        1308 | 687279-4 |           3
        1309 | 372219-8 |           3
        1318 | 543496-3 |           3
        1320 | 146063-3 |           3
        1321 | 413462-1 |           3
        1325 | 231564-5 |           3
        1326 | 982887-7 |           3
        1327 | 490841-4 |           3
        1329 | 296324-8 |           3
        1331 | 459676-5 |           3
        1332 | 372408-5 |           3
        1335 | 808670-2 |           3
        1336 | 146444-2 |           3
        1337 | 897255-9 |           3
        1338 | 230750-2 |           3
        1339 | 218999-2 |           3
        1340 | 765233-K |           3
        1341 | 923583-3 |           3
        1342 | 887448-4 |           3
        1345 | 150339-1 |           3
        1346 | 619858-9 |           3
        1347 | 504372-7 |           3
        1348 | 116812-6 |           3
        1349 | 838603-K |           3
        1350 | 579242-8 |           3
        1352 | 469164-4 |           3
        1354 | 153354-1 |           3
        1355 | 869809-0 |           3
        1356 | 755717-5 |           3
        1357 | 879073-6 |           3
        1358 | 549140-1 |           3
        1359 | 609785-5 |           3
        1362 | 379691-4 |           3
        1364 | 174864-5 |           3
        1366 | 254734-1 |           3
        1369 | 158520-7 |           3
        1373 | 300514-3 |           3
        1374 | 530522-5 |           3
        1375 | 858501-6 |           3
        1376 | 418156-5 |           3
        1377 | 596671-K |           3
        1378 | 421289-4 |           3
        1379 | 141447-K |           3
        1380 | 536585-6 |           3
        1382 | 288235-3 |           3
        1383 | 898344-5 |           3
        1384 | 242510-6 |           3
        1389 | 908753-2 |           3
        1391 | 145741-1 |           3
        1393 | 570687-4 |           3
        1395 | 528668-9 |           3
        1396 | 748110-1 |           3
        1397 | 532388-6 |           3
        1399 | 759029-6 |           3
        1401 | 741641-5 |           3
        1403 | 280300-3 |           3
        1404 | 110001-7 |           3
        1407 | 160875-4 |           3
        1409 | 975668-K |           3
        1411 | 748806-8 |           3
        1414 | 842028-9 |           3
        1417 | 948066-8 |           3
        1420 | 426890-3 |           3
        1422 | 976438-0 |           3
        1423 | 558289-K |           3
        1428 | 573979-9 |           3
        1429 | 911278-2 |           3
        1431 | 626689-4 |           3
        1434 | 683212-1 |           3
        1435 | 620791-K |           3
        1436 | 684498-7 |           3
        1438 | 162981-6 |           3
        1441 | 637074-8 |           3
        1445 | 150789-3 |           3
        1446 | 207832-5 |           3
        1449 | 932933-1 |           3
        1450 | 546901-5 |           3
        1451 | 454052-2 |           3
        1452 | 218507-5 |           3
        1453 | 262556-3 |           3
        1455 | 711953-4 |           3
        1457 | 584333-2 |           3
        1459 | 397138-4 |           3
        1462 | 467384-0 |           3
        1465 | 923986-3 |           3
        1467 | 258613-4 |           3
        1469 | 720103-6 |           3
        1470 | 946250-3 |           3
        1471 | 268612-0 |           3
        1473 | 320306-9 |           3
        1475 | 145556-7 |           3
        1479 | 553791-6 |           3
        1481 | 310621-7 |           3
        1482 | 188436-0 |           3
        1485 | 319555-4 |           3
        1486 | 408091-2 |           3
        1487 | 852806-3 |           3
        1488 | 907411-2 |           3
        1490 | 875560-4 |           3
        1492 | 171234-9 |           3
        1493 | 217593-2 |           3
        1494 | 811545-1 |           3
        1495 | 535491-9 |           3
        1496 | 812642-9 |           3
        1497 | 320060-4 |           3
        1498 | 882748-6 |           3
        1500 | 417982-K |           3
        1501 | 675221-7 |           3
        1503 | 132041-6 |           3
        1505 | 205634-8 |           3
        1506 | 116871-1 |           3
        1508 | 597954-4 |           3
        1509 | 281988-0 |           3
        1514 | 629424-3 |           3
        1518 | 432242-8 |           3
        1523 | 487990-2 |           3
        1525 | 329091-3 |           3
        1530 | 761136-6 |           3
        1532 | 654272-7 |           3
        1533 | 561152-0 |           3
        1534 | 727208-1 |           3
        1537 | 296914-9 |           3
        1538 | 758493-8 |           3
        1543 | 894068-1 |           3
        1544 | 481115-1 |           3
        1545 | 878325-K |           3
        1548 | 625473-K |           3
        1550 | 808555-2 |           3
        1551 | 116784-7 |           3
        1552 | 556181-7 |           3
        1554 | 106623-4 |           3
        1556 | 653218-7 |           3
        1557 | 900865-9 |           3
        1558 | 490072-3 |           3
        1560 | 407658-3 |           3
        1562 | 577023-8 |           3
        1564 | 205164-8 |           3
        1565 | 161099-6 |           3
        1566 | 484346-0 |           3
        1567 | 167283-5 |           3
        1568 | 754721-8 |           3
        1571 | 756118-0 |           3
        1572 | 283087-6 |           3
        1573 | 147421-9 |           3
        1574 | 107197-1 |           3
        1575 | 880717-5 |           3
        1579 | 548939-3 |           3
        1581 | 424702-7 |           3
        1583 | 870370-1 |           3
        1584 | 604723-8 |           3
        1587 | 812458-2 |           3
        1588 | 659294-5 |           3
        1590 | 361351-8 |           3
        1592 | 576031-3 |           3
        1593 | 222642-1 |           3
        1597 | 629982-2 |           3
        1600 | 412662-9 |           3
        1607 | 545455-7 |           3
        1608 | 682666-0 |           3
        1610 | 237885-K |           3
        1611 | 397264-K |           3
        1615 | 621807-5 |           3
        1616 | 415720-6 |           3
        1617 | 199356-9 |           3
        1618 | 380936-6 |           3
        1620 | 971661-0 |           3
        1622 | 653294-2 |           3
        1623 | 120667-2 |           3
        1626 | 603533-7 |           3
        1629 | 530519-5 |           3
        1630 | 698429-0 |           3
        1631 | 354975-5 |           3
        1632 | 473356-8 |           3
        1633 | 815698-0 |           3
        1634 | 971058-2 |           3
        1635 | 302486-5 |           3
        1636 | 527699-3 |           3
        1637 | 175125-5 |           3
        1638 | 350801-3 |           3
        1643 | 633612-4 |           3
        1645 | 364121-K |           3
        1647 | 759380-5 |           3
        1649 | 104586-5 |           3
        1651 | 402590-3 |           3
        1652 | 258473-5 |           3
        1654 | 756763-4 |           3
        1655 | 655243-9 |           3
        1656 | 922389-4 |           3
        1658 | 573094-5 |           3
        1659 | 181094-4 |           3
        1660 | 500919-7 |           3
        1662 | 434665-3 |           3
        1666 | 377271-3 |           3
        1669 | 756661-1 |           3
        1670 | 210532-2 |           3
        1672 | 473257-K |           3
        1673 | 692104-3 |           3
        1674 | 113112-5 |           3
        1676 | 606259-8 |           3
        1678 | 266665-0 |           3
        1679 | 918979-3 |           3
        1681 | 526838-9 |           3
        1682 | 829521-2 |           3
        1684 | 403023-0 |           3
        1687 | 827065-1 |           3
        1688 | 508174-2 |           3
        1689 | 453799-8 |           3
        1690 | 715578-6 |           3
        1692 | 721054-K |           3
        1694 | 248177-4 |           3
        1698 | 838215-8 |           3
        1699 | 722359-5 |           3
        1700 | 465551-6 |           3
        1702 | 241318-3 |           3
        1703 | 539858-4 |           3
        1704 | 260265-2 |           3
